lang,author_id,edit_history_tweet_ids,text,created_at,id
ko,1393808428670152706,['1650194924158205952'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T17:48:23.000Z,1650194924158205952
ko,1491332367617003523,['1650144815001264128'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:29:16.000Z,1650144815001264128
ko,1426164044445089792,['1650144361710256131'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:27:28.000Z,1650144361710256131
ko,1082902861648777216,['1650143932104474626'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:25:46.000Z,1650143932104474626
ko,1319211433796644864,['1650143029263765504'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:22:11.000Z,1650143029263765504
ko,926615884700848128,['1650142456015654913'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:19:54.000Z,1650142456015654913
ko,1520624476039561218,['1650142352663793664'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:19:29.000Z,1650142352663793664
ko,1212295109384912896,['1650141291202908160'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T14:15:16.000Z,1650141291202908160
ko,1512581631437008897,['1650134557780484096'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T13:48:31.000Z,1650134557780484096
ko,1195676386406436865,['1650132131308531712'],"RT @bang_275: 하노이 여행중 마주한 타이니 지민💛
호안끼엠 호수 벤치에 앉아 LIKE CRAZY 들으며~
우리 지민이의 아름다운 목소리를 베트남에 울려퍼지게 하는중 😆
보고싶다 우리 지민이!!!

from #Jimin_FACE by #Se…",2023-04-23T13:38:52.000Z,1650132131308531712
